ICES_FileID,ICES_HaulID,ICES_MeasurementID,RecordType,HaulID,Species,ELSampleFlag,IndividualNumber,Length,DevScale,DevStage,Number,SubFactor,SpecIdentMethod,OilGlobulesFlag,OilGlobulesNumber,OilGlobulesDiam,PreservationMethod,Notes
13998,1557914,8711124,EM,1992DK_021,Clupea harengus,LV,,23,,,2,1,,,,,,
13998,1557914,8711125,EM,1992DK_021,Clupea harengus,LV,,24,,,2,1,,,,,,
13998,1557914,8711126,EM,1992DK_021,Clupea harengus,LV,,25,,,5,1,,,,,,
13998,1557914,8711127,EM,1992DK_021,Clupea harengus,LV,,26,,,6,1,,,,,,
13998,1557914,8711128,EM,1992DK_021,Clupea harengus,LV,,27,,,3,1,,,,,,
13998,1557914,8711129,EM,1992DK_021,Clupea harengus,LV,,28,,,2,1,,,,,,
13998,1557914,8711130,EM,1992DK_021,Clupea harengus,LV,,32,,,1,1,,,,,,
13998,1557915,8711131,EM,1992DK_022,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557915,8711132,EM,1992DK_022,Clupea harengus,LV,,26,,,1,1,,,,,,
13998,1557915,8711133,EM,1992DK_022,Clupea harengus,LV,,28,,,1,1,,,,,,
13998,1557916,8711134,EM,1992DK_023,Clupea harengus,LV,,23,,,1,1,,,,,,
13998,1557916,8711135,EM,1992DK_023,Clupea harengus,LV,,24,,,1,1,,,,,,
13998,1557916,8711136,EM,1992DK_023,Clupea harengus,LV,,27,,,1,1,,,,,,
13998,1557916,8711137,EM,1992DK_023,Clupea harengus,LV,,30,,,1,1,,,,,,
13998,1557916,8711138,EM,1992DK_023,Clupea harengus,LV,,32,,,1,1,,,,,,
13998,1557917,8711139,EM,1992DK_024,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557917,8711140,EM,1992DK_024,Clupea harengus,LV,,26,,,4,1,,,,,,
13998,1557917,8711141,EM,1992DK_024,Clupea harengus,LV,,27,,,2,1,,,,,,
13998,1557917,8711142,EM,1992DK_024,Clupea harengus,LV,,29,,,2,1,,,,,,
13998,1557918,8711143,EM,1992DK_025,Clupea harengus,LV,,24,,,2,1,,,,,,
13998,1557918,8711144,EM,1992DK_025,Clupea harengus,LV,,25,,,1,1,,,,,,
13998,1557918,8711145,EM,1992DK_025,Clupea harengus,LV,,26,,,8,1,,,,,,
13998,1557918,8711146,EM,1992DK_025,Clupea harengus,LV,,28,,,2,1,,,,,,
13998,1557918,8711147,EM,1992DK_025,Clupea harengus,LV,,29,,,2,1,,,,,,
