RecordType,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,SurveyIndexArea
HH,2,NL,64T2 ,MRN2,3275.351261,,,748738,2019NL019,2019,4,16,14,,11,d,55.752,7.23367,,,30,,,,,R,2,,,1030,,,,,,,,,,,,,,,,,,,,,,7.54,7.28,33.06,33.83,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3873.217544,,,748741,2019NL022,2019,4,16,19,,13,d,55.68833,5.7425,,,51,,,,,R,2,,,1053,,,,,,,,,,,,,,,,,,,,,,7.04,6.9,34.71,34.74,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3670.074069,,,748742,2019NL023,2019,4,16,20,,12,d,55.5675,5.30683,,,49,,,,,R,2,,,1102,,,,,,,,,,,,,,,,,,,,,,7.09,7.06,34.77,34.79,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3793.810417,,,748743,2019NL024,2019,4,16,22,,10,n,55.32133,4.92317,,,49,,,,,R,2,,,1041,,,,,,,,,,,,,,,,,,,,,,7.2,7.21,34.76,34.76,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3623.046547,,,748745,2019NL026,2019,4,17,0,,10,n,55.251,5.7535,,,47,,,,,R,2,,,988,,,,,,,,,,,,,,,,,,,,,,7.07,7.07,34.71,34.71,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4184.293038,,,748750,2019NL031,2019,4,17,9,,12,d,54.33333,7.1405,,,42,,,,,R,2,,,1209,,,,,,,,,,,,,,,,,,,,,,7.6,7.28,33.08,34.49,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,3802.29079,,,748752,2019NL033,2019,4,17,12,,10,d,54.65967,6.64167,,,40,,,,,R,2,,,1343,,,,,,,,,,,,,,,,,,,,,,7.66,7.19,33.55,34.56,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4416.732347,,,748753,2019NL034,2019,4,17,13,,12,d,54.6545,6.31933,,,41,,,,,R,2,,,1475,,,,,,,,,,,,,,,,,,,,,,7.85,7.19,33.99,34.58,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4844.220231,,,748754,2019NL035,2019,4,17,15,,15,d,54.27083,6.067,,,40,,,,,R,2,,,1423,,,,,,,,,,,,,,,,,,,,,,7.72,7.7,34.57,34.58,,,500,,,,,,,,
HH,2,NL,64T2 ,MRN2,4313.811459,,,748755,2019NL036,2019,4,17,16,,14,d,54.272,5.67133,,,41,,,,,R,2,,,1110,,,,,,,,,,,,,,,,,,,,,,7.47,7.34,34.41,34.39,,,500,,,,,,,,
